Status,Category,Level,Section Nr,HTML File Name,Section Name,Feature Names,Keywords,Remarks
New,,,,Features_Accessing_table_contents.html,Accessing Table Contents,Accessing table contents
New,,,,Features_accessing_table_info.html,Accessing Table Information,accessing table info
New,,,,Features_arrays.html,Arrays,arrays,"array,arrays"
New,,,,Features_data_types.html,Basic Data Types,data types,"data types,basic data types"
New,,,,Features_basic_directory_and_file_functions.html,Basic Directory and File Functions,basic directory and file functions
New,,,,Features_basic_math_functions.html,Basic Math Functions,basic math functions,basic math functions
New,,,,Features_data_types_booleans.html,Booleans,data types booleans,"boolean,booleans"
New,,,,Features_Branches.html,Branches,Branches,Branches
New,,,,Features_CSV.html,CSV File Format,CSV,CSV
New,,,,Features_case_sensitivity.html,Case Sensitivity,case sensitivity,"case sensitivity,upper case,lower case"
New,,,,Features_character_coding.html,Character Encoding and Decoding,character coding
New,,,,Features_Checking_headers.html,Checking and Processing Headers,"Checking headers,Processing headers"
New,,,,Features_comments.html,Comments,comments,comments
New,,,,Features_console.html,Console Input / Output,console,console
New,,,,Features_Control_Flow_Functions.html,Control Flow Functions,Control Flow Functions,Control Flow Functions
New,,,,Features_table_creating_deleting.html,Creating and Deleting Tables,table creating deleting
New,,,,Features_date_functions.html,Date Functions,date functions
New,,,,Features_date_and_time_functions.html,Date and Time Functions,date and time functions
New,,,,Features_data_types_dates.html,Dates,data types dates,"date,dates,plain date,plain dates"
New,,,,Features_directory_and_file_system.html,Directory and File System Functions,directory and file system,short error messages on directories and files
New,,,,Features_finance_functions.html,Finance and Business Functions,finance functions,"finance functions,business functions"
New,,,,Features_Function_Library.html,Function Library,Function Library,function library
New,,,,Features_entities.html,HTML Entities,entities,"entities,html entities"
New,,,,Features_interactive.html,Interactive Mode,interactive,"interactive,interactive mode"
New,,,,Features_introduction.html,Introduction,introduction,introduction
New,,,,Features_licensing.html,Licensing,licensing,"licensing,unlock"
New,,,,Features_listing_directories_and_files.html,Listing and Searching Directories and Files,listing directories and files
New,,,,Features_data_types_literals.html,Literals,data types literals,"literal,literals,softquoted literal,softquoted literals,quoted literal,quoted literals,unquoted literal,unquoted literals"
New,,,,Features_data_types_literals_extracting_substrings.html,Literals - Extracting Substrings,data types literals extracting substrings,literals extracting substrings
New,,,,Features_literals_indexing.html,Literals - Indexing,literals indexing,"literals indexing,length of literals"
New,,,,Features_loading_files.html,Loading and Saving Files,loading files,loading files
New,,,,Features_Loading_and_saving_tables.html,Loading and Saving Tables,Loading and saving tables
New,,,,Features_Locales.html,Locales,Locales,"list of Locales,locale"
New,,,,Features_Loops.html,Loops,Loops,Loops
New,,,,Features_deleting_directories_and_files.html,Manipulating Directories and Files,deleting directories and files
New,,,,Features_Mathematics_and_Statistics.html,Mathematics and Statistics,Mathematics and Statistics,mathematics and statistics
New,,,,Features_matrix_functions.html,Matrix Functions,matrix functions,matrix functions
New,,,,Features_matrix_manipulation_functions.html,Matrix Manipulation Functions,matrix manipulation functions,"matrix manipulation functions,matrix manipulations"
New,,,,Features_data_types_numerals.html,Numerals,data types numerals,"numeral,numerals,plain numeral,plain numerals"
New,,,,Features_Other_Control_Flow_Functions.html,Other Control Flow Functions,Other Control Flow Functions,Other Control Flow Functions
New,,,,Features_parameter_set_functions.html,Parameter Set Functions,parameter set functions,parameter set functions
New,,,,Features_data_types_parameter_sets.html,Parameter sets,data types parameter sets,"parameter set,parameter sets"
New,,,,Features_data_types_parameter_sets_extracting_subsets.html,Parameter sets - Extracting Subsets,data types parameter sets extracting subsets,parameter sets extracting subsets
New,,,,Features_data_types_parameter_sets_indexing.html,Parameter sets - Indexing,data types parameter sets indexing,"parameter set indexing,length of parameter sets"
New,,,,Features_data_types_parameter_sets_value_ranges.html,Parameter sets - Value Ranges,data types parameter sets value ranges,parameter set value ranges
New,,,,Features_data_types_parameter_sets_value_repetitions.html,Parameter sets - Value Repetitions,data types parameter sets value repetitions,"parameter set value repetitions,value repetition,value repetitions"
New,,,,Features_path_names.html,Path and File Names,path names,"path name,path names,file name,file names"
New,,,,Features_Searching_tables.html,Processing Table Columns,Searching tables
