Status;Category;Level;Section Nr;HTML File Name;Section Name;Feature Names;Keywords;Remarks
OK;Body;1;B 1;Features_Table_of_Contents.html;Table of Contents;Table of Contents;Table of Contents;
OK;Body;1;B 2;Features_starting.html;Starting B4P;starting;installing,installation,starting,launching;
OK;Body;2;B 2.1;Features_interactive.html;Interactive Mode;interactive;interactive,interactive mode;
OK;Body;2;B 2.2;Features_licensing.html;Licensing;licensing;licensing,unlock;
OK;Body;1;B 3;Features_introduction.html;Introduction;introduction;introduction;
OK;Body;2;B 3.1;Features_UNICODE_character_set.html;UNICODE Character Set;UNICODE character set;UNICODE,character set;
OK;Body;3;B 3.1.1;Features_case_sensitivity.html;Case Sensitivity;case sensitivity;case sensitivity,upper case,lower case;
OK;Body;3;B 3.1.2;Features_entities.html;HTML Entities;entities;entities,html entities;
OK;Body;3;B 3.1.3;Features_console.html;Console Input / Output;console;console;
OK;Body;3;B 3.1.4;Features_loading_files.html;Loading and Saving Files;loading files;loading files;
OK;Body;3;B 3.1.5;Features_CSV.html;CSV File Format;CSV;CSV;
OK;Body;2;B 3.2;Features_data_types.html;Basic Data Types;data types;data types,basic data types;
OK;Body;3;B 3.2.1;Features_data_types_literals.html;Literals;data types literals;literal,literals,softquoted literal,softquoted literals,quoted literal,quoted literals,unquoted literal,unquoted literals;
OK;Body;4;B 3.2.1.1;Features_literals_indexing.html;Literals - Indexing;literals indexing;literals indexing,length of literals;
OK;Body;4;B 3.2.1.2;Features_data_types_literals_extracting_substrings.html;Literals - Extracting Substrings;data types literals extracting substrings;literals extracting substrings;
OK;Body;3;B 3.2.2;Features_data_types_numerals.html;Numerals;data types numerals;numeral,numerals,plain numeral,plain numerals;
OK;Body;3;B 3.2.3;Features_data_types_dates.html;Dates;data types dates;date,dates,plain date,plain dates;
OK;Body;3;B 3.2.4;Features_data_types_booleans.html;Booleans;data types booleans;boolean,booleans;
OK;Body;3;B 3.2.5;Features_data_types_voids.html;Voids;data types voids;void,voids;
OK;Body;3;B 3.2.6;Features_data_types_parameter_sets.html;Parameter sets;data types parameter sets;parameter set,parameter sets;
OK;Body;4;B 3.2.6.1;Features_data_types_parameter_sets_indexing.html;Parameter sets - Indexing;data types parameter sets indexing;parameter set indexing,length of parameter sets;
OK;Body;4;B 3.2.6.2;Features_data_types_parameter_sets_extracting_subsets.html;Parameter sets - Extracting Subsets;data types parameter sets extracting subsets;parameter sets extracting subsets;
OK;Body;4;B 3.2.6.3;Features_data_types_parameter_sets_value_ranges.html;Parameter sets - Value Ranges;data types parameter sets value ranges;parameter set value ranges;
OK;Body;4;B 3.2.6.4;Features_data_types_parameter_sets_value_repetitions.html;Parameter sets - Value Repetitions;data types parameter sets value repetitions;parameter set value repetitions,value repetition,value repetitions;
OK;Body;2;B 3.3;Features_variables.html;Variables;variables;variables,base variables,base variable,member variable,member variables;
OK;Body;3;B 3.3.1;Features_simple_variables.html;Simple Variables;simple variables;simple variables,simple variable;
OK;Body;3;B 3.3.2;Features_arrays.html;Arrays;arrays;array,arrays;
OK;Body;3;B 3.3.3;Features_structures.html;Structures;structures;structure,structures;
OK;Body;3;B 3.3.4;Features_zero_members.html;Zero Members Variables;zero members;zero members;
OK;Body;2;B 3.4;Features_comments.html;Comments;comments;comments;
OK;Body;2;B 3.5;Features_reserved_keywords.html;Reserved keywords;reserved keywords;keywords;
OK;Body;2;B 3.6;Features_path_names.html;Path and File Names;path names;path name,path names,file name,file names;
OK;Body;2;B 3.7;Features_Locales.html;Locales;Locales;list of Locales,locale;
OK;Body;1;B 4;Features_Functions_and_Procedures.html;Functions and Procedures;Functions and Procedures;;
OK;Body;2;B 4.1;Features_Function_Parameters.html;Function Parameters;Function Parameters;;
OK;Body;2;B 4.2;Features_Function_parameter_directions.html;Function Parameter Directions;Function parameter directions,parameter directions;;
OK;Body;2;B 4.3;Features_Function_parameter_types.html;Function Parameter Types;Function parameter types;;
OK;Body;3;B 4.3.1;Features_parameter_set_or_literal.html;Parameter Set or Literal (Func. Param. Type);parameter set or literal;parameter set or literal;
OK;Body;3;B 4.3.2;Features_Table_columns.html;Table Columns (Func. Param. Type);Table columns;Table column;
OK;Body;3;B 4.3.3;Features_Code_Piece.html;Code Pieces (Func. Param. Type);Code Piece;code pieces;
OK;Body;3;B 4.3.4;Features_Expressions_to_select_rows.html;Expressions to Select Rows;Expressions to select rows;;
OK;Body;2;B 4.4;Features_Indirect_parameter_passing.html;Indirect Parameter Passing;Indirect parameter passing;;
OK;Body;1;B 5;Features_Function_Library.html;Function Library;Function Library;function library;
OK;Body;2;B 5.1;Features_Control_Flow_Functions.html;Control Flow Functions;Control Flow Functions;Control Flow Functions;
OK;Body;3;B 5.1.1;Features_Loops.html;Loops;Loops;Loops;
Missing;Body;4;B 5.1.1.1;;do;;;
Missing;Body;4;B 5.1.1.2;;for;;;
Missing;Body;4;B 5.1.1.3;;while, until;;;
Missing;Body;4;B 5.1.1.4;;for all table columns;;;
Missing;Body;4;B 5.1.1.5;;for all current table columns;;;
Missing;Body;4;B 5.1.1.6;;for all parameters;;;
Missing;Body;4;B 5.1.1.7;;for all table rows;;;
Missing;Body;4;B 5.1.1.8;;for all table selected rows;;;
Missing;Body;4;B 5.1.1.9;;for all variables;;;
Missing;Body;4;B 5.1.1.10;;for all current table selected columns;;;
Missing;Body;4;B 5.1.1.11;;for all table selected columns;;;
OK;Body;3;B 5.1.2;Features_Branches.html;Branches;Branches;Branches;
Missing;Body;4;B 5.1.2.1;;if, unless;;;
Missing;Body;4;B 5.1.2.2;;once;;;
Missing;Body;4;B 5.1.2.3;;switch, check;;;
Missing;Body;4;B 5.1.2.4;;case;;;
Missing;Body;4;B 5.1.2.5;;break, continue;;;
OK;Body;3;B 5.1.3;Features_User_Defined_Procedures_and_Functiions.html;User-Defined Procedures and Functions;User Defined Procedures and Functiions;User-defined procedures and functions,user-defined procedures,user-defined functions,user procedures,user functions;
Missing;Body;4;B 5.1.3.1;;define procedure / function;;;
Missing;Body;4;B 5.1.3.2;;define additional procedure / function;;;
Missing;Body;4;B 5.1.3.3;;Parameter Types in User-Defined Functions;;;
Missing;Body;4;B 5.1.3.4;;return;;;
Missing;Body;4;B 5.1.3.5;;function / user function existing;;;
Missing;Body;4;B 5.1.3.6;;delete user function;;;
OK;Body;3;B 5.1.4;Features_Start_or_include_Beyond4P_Programs.html;Start or include Beyond4P Programs;Start or include Beyond4P Programs;start programs,include programs;
Missing;Body;4;B 5.1.4.1;;start - Function;;;
Missing;Body;4;B 5.1.4.2;;include - Function;;;
OK;Body;3;B 5.1.5;Features_Other_Control_Flow_Functions.html;Other Control Flow Functions;Other Control Flow Functions;Other Control Flow Functions;
Missing;Body;4;B 5.1.5.1;;null - Function;;;
Missing;Body;4;B 5.1.5.2;;Provide Context for Partial Table Specification with 'with table' Procedure;;;
OK;Body;2;B 5.2;Features_Type_Conversion_Functions.html;Type Conversion and Formatting Functions;Type Conversion Functions;type conversion;
Missing;Body;3;B 5.2.1;;literal, quoted literal, softquoted literal;;;
Missing;Body;4;B 5.2.1.1;;Literal to Literal Formatting;;;
Missing;Body;4;B 5.2.1.2;;Void to Literal Formatting;;;
Missing;Body;4;B 5.2.1.3;;Numeral to Literal Formatting;;;
Missing;Body;4;B 5.2.1.4;;Date to Literal Formatting;;;
Missing;Body;4;B 5.2.1.5;;Parameter Set to Literal Formatting;;;
Missing;Body;4;B 5.2.1.6;;Boolean to Literal Formatting;;;
Missing;Body;4;B 5.2.1.7;;Smart Formatting;;;
