Status;Category;Level;Section Nr;Section Name;HTML File Name;Feature Names;Keywords;Remarks
Missing, (Assign right Category);Link;;;"&#8594; Reference Manual";REF_Features_Table_of_Contents.html;;;
Missing, (Assign right Category);TOC;;;Table of Contents;;;;
Missing;Body;1;B 1;Overview;;;;
Missing;Body;2;B 1.1;What is B4P?;;;;
Missing;Body;2;B 1.2;Benefits and Features;;;;
Missing;Body;2;B 1.3;Use Cases;;;;
Missing;Body;2;B 1.4;B4P Concepts;;;;
Missing;Body;1;B 2;Installation and Setup;;;;
Missing;Body;2;B 2.1;Windows;;;;
Missing;Body;2;B 2.2;MacOS;;;;
Missing;Body;2;B 2.3;Linux;;;;
Missing;Body;2;B 2.4;Post-Installation Optimization;;;;
Missing;Body;1;B 3;Getting Started;;;;
Missing;Body;2;B 3.1;Interactive Mode Workflow;;;;
Missing;Body;2;B 3.2;Programming Mode Workflow;;;;
Missing;Body;1;B 4;Getting Help;;;;
Missing;Body;2;B 4.1;Interactive Mode - Help Options;;;;
Missing;Body;2;B 4.2;Access web documentation;;;;
Missing;Body;2;B 4.3;Access PDF documentation;;;;
Missing;Body;1;B 5;Tutorials;;;;
Missing;Body;2;B 5.1;Introduction to Programming in B4P;;;;
Missing;Body;2;B 5.2;B4P Program Examples;;;;
Missing;Body;3;B 5.2.1;Example - Analyzing data from web;;;;
Missing;Body;3;B 5.2.2;Example - Consolidating data from mulitple spreadsheets;;;;
OK;Body;3;B 5.2.3;Football;GUI_Features_merging_two_football_clubs.html;merging two football clubs;merging two football clubs;
