Status;Category;Level;Section Nr;Section Name;HTML File Name;Feature Names;Keywords;Remarks
Missing, (Assign right Category);Link;;;"&#8594; User Guide";GUI_Features_overview.html;;;
Missing, (Assign right Category);Link;;;"&#8594; Function Library Guide";LIB_Features_Function_Library.html;;;
OK, (Assign right Category);TOC;1;;Table of Contents;LAN_Features_Table_of_Contents.html;Table of Contents;Table of Contents,Reference Manual;
OK;Body;1;B 1;Introduction;LAN_Features_Introduction.html;Introduction;Introduction;
OK;Body;1;B 2;Execution Engine;LAN_Features_Execution_Engine.html;Execution Engine;Execution Engine;
OK;Body;2;B 2.1;Installing and Starting Up;LAN_Features_Installting_and_starting_up.html;Installting and starting up;Installting and starting up;
OK;Body;2;B 2.2;Command Line Switches;LAN_Features_Command_line_switches.html;Command line switches;Command line switches,Command line options;
OK;Body;2;B 2.3;Starting Behavior;LAN_Features_Starting_Behavior.html;Starting Behavior;Starting Behavior;
OK;Body;2;B 2.4;User Initialization Program;LAN_Features_User_initialization_program.html;User initialization program;User initialization program,custom initialization program,My B4P Init.b4p;
OK;Body;2;B 2.5;Licensing;LAN_Features_licensing.html;licensing;licensing,unlock;
OK;Body;2;B 2.6;Interactive Mode;LAN_Features_interactive_mode.html;interactive mode;interactive mode;
OK;Body;3;B 2.6.1;Entering Interactive Mode;LAN_Features_entering_interactive_mode.html;entering interactive mode;entering interactive mode;
OK;Body;3;B 2.6.2;Interactive Help;LAN_Features_Interactive_help.html;Interactive help;Interactive help;
OK;Body;3;B 2.6.3;Execute B4P Statements Interactively;LAN_Features_Execute_B4P_statements_interactively.html;Execute B4P statements interactively;Execute B4P statements interactively,interactive statements;
OK;Body;3;B 2.6.4;Execute B4P Expressions Interactively;LAN_Features_Execute_B4P_expressions_interactively.html;Execute B4P expressions interactively;Execute B4P expressions interactively,interactive expressions;
OK;Body;3;B 2.6.5;Inspecting Tables Interactively;LAN_Features_Inspect_Tables.html;Inspect Tables;Inspect Tables;
OK;Body;3;B 2.6.6;Inspecting Variables Interactively;LAN_Features_Inspect_Variables.html;Inspect Variables;Inspect Variables;
OK;Body;3;B 2.6.7;Basic Commands;LAN_Features_Basic_Commands.html;Basic Commands;Basic Commands;
OK;Body;3;B 2.6.8;Operating System Commands;LAN_Features_Operating_System_Commands.html;Operating System Commands;Operating System Commands,OS Commands;
OK;Body;1;B 3;The Language;LAN_Features_The_Language.html;The Language;The Language;
OK;Body;2;B 3.1;Basic Language Structure;LAN_Features_Basic_Language_Structure.html;Basic Language Structure;Basic Language Structure,Blocks,statement,B4P statements;
OK;Body;2;B 3.2;Distinct Language Features;LAN_Features_Distinct_Language_Features.html;Distinct Language Features;Distinct Language Features;
OK;Body;2;B 3.3;Comments;LAN_Features_comments.html;comments;comments;
OK;Body;2;B 3.4;Characters;LAN_Features_Characters.html;Characters;Characters;
OK;Body;3;B 3.4.1;Case Sensitivity;LAN_Features_case_sensitivity.html;case sensitivity;case sensitivity;
OK;Body;3;B 3.4.2;Console Input / Output;LAN_Features_console.html;console;console;
OK;Body;2;B 3.5;Literal Constants;LAN_Features_Literal_Constants.html;Literal Constants;Literal Constants;
OK;Body;3;B 3.5.1;(Unquoted) Literals;LAN_Features_Unquoted_Literals.html;Unquoted Literals;Unquoted Literals;
OK;Body;3;B 3.5.2;Softquoted Literals;LAN_Features_Softquoted_Literals.html;Softquoted Literals,Entities;Softquoted Literals,Entities;
OK;Body;3;B 3.5.3;Quoted Literals;LAN_Features_Quoted_Literals.html;Quoted Literals;Quoted Literals;
OK;Body;3;B 3.5.4;Reserved Keywords;LAN_Features_reserved_keywords.html;reserved keywords;reserved keywords;
OK;Body;2;B 3.6;Numeric Constants;LAN_Features_Numeric_Constants.html;Numeric Constants;Numeric Constants;
OK;Body;2;B 3.7;Basic Data Types;LAN_Features_basic_data_types.html;basic data types;basic data types;
OK;Body;3;B 3.7.1;Literals;LAN_Features_data_types_literals.html;data types literals;data types literals;
OK;Body;4;B 3.7.1.1;Literals - Indexing;LAN_Features_literals_indexing.html;literals indexing;literals indexing,length of literals;
OK;Body;4;B 3.7.1.2;Literals - Extracting Substrings;LAN_Features_data_types_literals_extracting_substrings.html;data types literals extracting substrings;data types literals extracting substrings;
OK;Body;3;B 3.7.2;Numerals;LAN_Features_data_types_numerals.html;data types numerals;data types numerals,plain numeral,plain numerals;
OK;Body;3;B 3.7.3;Dates;LAN_Features_data_types_dates.html;data types dates;data types dates,plain date,plain dates;
OK;Body;3;B 3.7.4;Booleans;LAN_Features_data_types_booleans.html;data types booleans;data types booleans;
OK;Body;3;B 3.7.5;Voids;LAN_Features_data_types_voids.html;data types voids;data types voids;
OK;Body;3;B 3.7.6;Parameter sets;LAN_Features_data_types_parameter_sets.html;data types parameter sets;data types parameter sets;
OK;Body;4;B 3.7.6.1;Parameter sets - Indexing;LAN_Features_data_types_parameter_sets_indexing.html;data types parameter sets indexing;data types parameter sets indexing,parameter set indexing,length of parameter sets;
OK;Body;4;B 3.7.6.2;Parameter sets - Extracting Subsets;LAN_Features_data_types_parameter_sets_extracting_subsets.html;data types parameter sets extracting subsets;data types parameter sets extracting subsets;
OK;Body;4;B 3.7.6.3;Parameter sets - Value Ranges;LAN_Features_data_types_parameter_sets_value_ranges.html;data types parameter sets value ranges;data types parameter sets value ranges,parameter set value ranges;
OK;Body;4;B 3.7.6.4;Parameter sets - Value Repetitions;LAN_Features_data_types_parameter_sets_value_repetitions.html;data types parameter sets value repetitions;data types parameter sets value repetitions,parameter set value repetitions;
OK;Body;2;B 3.8;Directories and Files;LAN_Features_Directory_and_files.html;Directory and files;Directory and files,directories;
OK;Body;3;B 3.8.1;Path and File Names;LAN_Features_path_names.html;path names;path names,file name,file names;
OK;Body;3;B 3.8.2;Loading Files - Character sets;LAN_Features_loading_files.html;loading files;loading files;
OK;Body;3;B 3.8.3;Saving Files - Character sets;LAN_Features_saving_files.html;saving files;saving files;
OK;Body;3;B 3.8.4;CSV File Format;LAN_Features_CSV.html;CSV;CSV;
OK;Body;2;B 3.9;Locales;LAN_Features_Locales.html;Locales;Locales,list of Locales,locale;
OK;Body;2;B 3.10;Miscellaneous Features;LAN_Features_Miscellaneous_Features.html;Miscellaneous Features;Miscellaneous Features;
OK;Body;3;B 3.10.1;Verbose Levels;LAN_Features_verbose.html;verbose;verbose,verbose levels;
OK;Body;3;B 3.10.2;Negative Indexing;LAN_Features_negative_indexing.html;negative indexing;negative indexing;
OK;Body;2;B 3.11;Language Pitfalls;LAN_Features_Language_pitfalls.html;Language pitfalls,Hijacking parameters;Language pitfalls,Hijacking parameters;
OK;Body;1;B 4;Variables;LAN_Features_variable.html;variable,variables;variable,variables;
OK;Body;2;B 4.1;Variable Scopes;LAN_Features_variable_scopes.html;variable scopes;variable scopes;
OK;Body;3;B 4.1.1;Global Variables;LAN_Features_global_variables.html;global variables;global variables;
OK;Body;3;B 4.1.2;Local Variables;LAN_Features_local_variables.html;local variables;local variables;
OK;Body;3;B 4.1.3;System Variables;LAN_Features_system_variables.html;system variables;system variables;
OK;Body;4;B 4.1.3.1;List of System Variables;LAN_Features_list_of_system_variables.html;list of system variables;list of system variables;
OK;Body;2;B 4.2;Variable Attributes;LAN_Features_Variable_attributes.html;Variable attributes;Variable attributes;
