Status;Category;Level;Section Nr;Section Name;HTML File Name;Feature Names;Keywords;Remarks
Missing, (Assign right Category);Link;;;"&#8594; User Guide";;;;
Missing, (Assign right Category);Link;;;"&#8594; Language Guide";;;;
OK, (Assign right Category);TOC;1;;Table of Contents;;;;
OK;Body;1;B 1;Function Library;;;;
OK;Body;1;B 2;Control Flow Functions;;;;
OK;Body;2;B 2.1;Branches;;;;
OK;Body;3;B 2.1.1;if, unless;;;;
OK;Body;3;B 2.1.2;else;;;;
OK;Body;3;B 2.1.3;once;;;;
OK;Body;3;B 2.1.4;switch, check;;;;
OK;Body;3;B 2.1.5;case;;;;
OK;Body;3;B 2.1.6;break, continue;;;;
OK;Body;2;B 2.2;Loops;;;;
OK;Body;3;B 2.2.1;do;;;;
OK;Body;3;B 2.2.2;for;;;;
OK;Body;3;B 2.2.3;while, until;;;;
OK;Body;3;B 2.2.4;for all table columns;;;;
OK;Body;3;B 2.2.5;for all current table columns;;;;
OK;Body;3;B 2.2.6;for all parameters;;;;
OK;Body;3;B 2.2.7;for all table rows;;;;
OK;Body;3;B 2.2.8;for all table selected rows;;;;
OK;Body;3;B 2.2.9;for all variables;;;;
OK;Body;3;B 2.2.10;for all current table selected columns;;;;
OK;Body;3;B 2.2.11;for all table selected columns;;;;
OK;Body;2;B 2.3;User-Defined Procedures and Functions;;;;
OK;Body;3;B 2.3.1;define procedure / function;;;;
OK;Body;3;B 2.3.2;define additional procedure / function;;;;
OK;Body;3;B 2.3.3;Parameter Types in User-Defined Functions;;;;
OK;Body;3;B 2.3.4;return;;;;
OK;Body;3;B 2.3.5;function / user function existing;;;;
OK;Body;3;B 2.3.6;delete user function;;;;
OK;Body;2;B 2.4;Start or include Beyond4P Programs;;;;
OK;Body;3;B 2.4.1;start;;;;
OK;Body;3;B 2.4.2;include;;;;
OK;Body;2;B 2.5;Exception Functions;;;;
OK;Body;3;B 2.5.1;pause;;;;
OK;Body;3;B 2.5.2;stop;;;;
OK;Body;3;B 2.5.3;interactive;;;;
OK;Body;3;B 2.5.4;exit;;;;
OK;Body;3;B 2.5.5;end;;;;
OK;Body;3;B 2.5.6;abort;;;;
OK;Body;3;B 2.5.7;throw;;;;
OK;Body;3;B 2.5.8;catch, catch if;;;;
OK;Body;3;B 2.5.9;exception;;;;
OK;Body;2;B 2.6;Comparison and Selection Functions;;;;
OK;Body;3;B 2.6.1;select, pick;;;;
OK;Body;3;B 2.6.2;select if, pick if;;;;
OK;Body;3;B 2.6.3;select ifs, pick ifs;;;;
OK;Body;3;B 2.6.4;select / pick by value;;;;
OK;Body;3;B 2.6.5;compare select / pick;;;;
OK;Body;2;B 2.7;Code Execution Functions;;;;
OK;Body;3;B 2.7.1;call;;;;
OK;Body;3;B 2.7.2;deep, deepr;;;;
OK;Body;3;B 2.7.3;statements;;;;
OK;Body;3;B 2.7.4;expression;;;;
OK;Body;3;B 2.7.5;compare;;;;
OK;Body;3;B 2.7.6;assign;;;;
OK;Body;2;B 2.8;Other Control Flow Functions;;;;
OK;Body;3;B 2.8.1;null - Function;;;;
OK;Body;3;B 2.8.2;with table;;;;
OK;Body;1;B 3;Input / Output Functions;;;;
OK;Body;2;B 3.1;Text Input / Output;;;;
OK;Body;3;B 3.1.1;echo, print ...;;;;
OK;Body;3;B 3.1.2;compose ...;;;;
OK;Body;3;B 3.1.3;input;;;;
OK;Body;3;B 3.1.4;input quick ...;;;;
OK;Body;3;B 3.1.5;getch ...;;;;
OK;Body;2;B 3.2;Console Special Effects;;;;
OK;Body;3;B 3.2.1;cls;;;;
OK;Body;3;B 3.2.2;cursor;;;;
OK;Body;3;B 3.2.3;text / background color;;;;
OK;Body;2;B 3.3;Inspection and Debugging;;;;
OK;Body;3;B 3.3.1;prompt;;;;
OK;Body;3;B 3.3.2;inspect;;;;
OK;Body;3;B 3.3.3;list variables ...;;;;
OK;Body;1;B 4;Type Conversion and Formatting;;;;
OK;Body;2;B 4.1;literal, quoted literal, softquoted literal;;;;
OK;Body;3;B 4.1.1;Literal to Literal Formatting;;;;
OK;Body;3;B 4.1.2;Void to Literal Formatting;;;;
OK;Body;3;B 4.1.3;Numeral to Literal Formatting;;;;
OK;Body;3;B 4.1.4;Date to Literal Formatting;;;;
OK;Body;3;B 4.1.5;Parameter Set to Literal Formatting;;;;
OK;Body;3;B 4.1.6;Boolean to Literal Formatting;;;;
OK;Body;3;B 4.1.7;Smart Formatting;;;;
OK;Body;2;B 4.2;numeral;;;;
OK;Body;2;B 4.3;clean (if) numeral;;;;
OK;Body;2;B 4.4;smart (if) numeral;;;;
OK;Body;2;B 4.5;date, pure date, date time;;;;
OK;Body;2;B 4.6;time, pure time;;;;
OK;Body;2;B 4.7;Date and Time Detection Rules;;;;
OK;Body;2;B 4.8;boolean;;;;
OK;Body;2;B 4.9;parameter set;;;;
OK;Body;2;B 4.10;best type;;;;
OK;Body;2;B 4.11;join ...;;;;
OK;Body;2;B 4.12;type, type detailed;;;;
OK;Body;2;B 4.13;hash signature;;;;
OK;Body;2;B 4.14;excel column;;;;
OK;Body;2;B 4.15;excel coordinates;;;;
OK;Body;2;B 4.16;excel check sheet name;;;;
OK;Body;1;B 5;Mathematics and Statistics;;;;
OK;Body;2;B 5.1;Basic Math Functions;;;;
OK;Body;3;B 5.1.1;is numeric / integer - Functions;;;;
OK;Body;3;B 5.1.2;even, odd, whole;;;;
OK;Body;3;B 5.1.3;abs - Absolute Value;;;;
OK;Body;3;B 5.1.4;round, round up / down;;;;
OK;Body;3;B 5.1.5;mod - Modulo function;;;;
OK;Body;3;B 5.1.6;random - Random Integers;;;;
OK;Body;2;B 5.2;Transcendental Functions;;;;
OK;Body;3;B 5.2.1;sqrt - Square Root;;;;
OK;Body;3;B 5.2.2;pow - Power Function;;;;
OK;Body;3;B 5.2.3;Exponential Functions;;;;
OK;Body;3;B 5.2.4;Logarithmic Functions;;;;
OK;Body;3;B 5.2.5;Trigonometric Functions;;;;
OK;Body;3;B 5.2.6;Hyperbolic Functions;;;;
OK;Body;2;B 5.3;Series Functions;;;;
OK;Body;3;B 5.3.1;Arithmetic and Boolean Series Functions;;;;
OK;Body;3;B 5.3.2;min, max Functions;;;;
