Country/Region;Official language;Regional language;Minority language;National language;Widely spoken
Abkhazia;Abkhaz Russian;;Georgian;Abkhaz;
Afghanistan;Persian (Dari) Pashto;Uzbek Turkmen Pashayi Nuristani Balochi Pamiri;;Persian (Dari) Pashto;Persian (Dari)
Albania;Albanian;;Greek Macedonian Aromanian;;Italian
Algeria;Arabic Berber;;;Arabic Berber;French
Andorra;Catalan;;Spanish French Portuguese;;
Angola;Portuguese;;;Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela;Angolan Portuguese
Antigua and Barbuda;English;;;;Antiguan and Barbudan Creole
Argentina;None (Spanish has de facto status);Spanish (in Corrientes and Chaco) Guaraní (in Corrientes) Kom (in Chaco) Moquoit (in Chaco) Wichi (in Chaco);;;Argentine Spanish
Armenia;Armenian;;;Armenian (state language);Russian
Australia;None (English has de facto status);English (on Norfolk Island) Norfuk (on Norfolk Island);;;
Austria;German;Burgenland Croatian (parts of Burgenland) Hungarian (parts of Burgenland) Slovene (parts of Carinthia);Slovene Czech Hungarian Slovak Romani Serbian;German (state language);English
Azerbaijan;Azerbaijani;;;Azerbaijani (state language);Russian
Bahamas;English;;;;
Bahrain;Arabic;;English;;
Bangladesh;Bengali;Sylheti(parts of Sylhet Division) Chittagonian(parts of Chittagong Division) Rangpuri/kamtapuri language(parts of Rangpur Division);Chakma Marma Rakhine Hajong Santali Tripuri Manipuri;Bengali;English
Barbados;English;;;;
Belarus;Belarusian Russian;;;Belarusian;
Belgium;Dutch French German;Dutch (Flanders, Brussels) French (Brussels, Wallonia) German (German-speaking community);;;English
Belize;English;;;;Kriol (lingua franca) Spanish (border with Mexico and Guatemala)
Benin;French;;;;
Bhutan;Dzongkha;;;;
Bolivia;Castilian (Spanish) Aymara Araona Baure Bésiro (Chiquitano) Canichana Cavineña Cayubaba Chácobo Chimán Ese Ejja Guaraní Guarasu'we Guarayu Itonama Leco Machajuyai-Kallawaya Machineri Maropa Mojeño-Ignaciano Mojeño-Trinitario Moré Mosetén Movima Pacawara Puquina Quechua Sirionó Tacana Tapieté Toromona Uru-Chipaya Weenhayek Yaminawa Yuki Yuracaré Zamuco;;;
Bosnia and Herzegovina;None (Bosnian, Croatian and Serbian all have de facto status);;;;
Botswana;English;;;Tswana;Other Bantu languages Several Khoisan languages
Brazil;Portuguese;German (in Pomerode) East Pomeranian (in Pancas, Santa Maria de Jetibá, Domingos Martins, Itarana, Laranja da Terra, Vila Pavão and Canguçu) Riograndenser Hunsrückisch (in Antônio Carlos, Santa Catarina, and in Santa Maria do Herval, Rio Grande do Sul) Talian (in Bento Gonçalves, Caxias do Sul, Flores da Cunha Nova Roma do Sul and Serafina Corréa) Nheengatu, Baniwa, Tucano (in São Gabriel de Cachoeira, Amazonas) Guaraní (in Tacuru, Mato Grosso do Sul);;Portuguese;
Brunei;Malay;;;;
Bulgaria;Bulgarian;;;;
Burkina Faso;French;;;Fula Jula More;
Burundi;French Kirundi English;;;Kirundi;Swahili
Cambodia;Khmer;;;;
Cameroon;English French;;;;
Canada;English (Federal) French (Federal);Chipewyan (Northwest Territories) Cree (Northwest Territories) Gwich'in (Northwest Territories) Inuinnaqtun (Northwest Territories and Nunavut) Inuktitut (Northwest Territories and Nunavut) Inuvialuktun (Northwest Territories) Mi'kmaq (Nova Scotia) North Slavey (Northwest Territories) South Slavey (Northwest Territories) Tłı̨chǫ (Northwest Territories);Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun Mi'kmaq North Slavey South Slavey Tłı̨chǫ;;
Cape Verde;Portuguese;;;Cape Verdean Creole;
Central African Republic;French Sango;;;;
Chad;Arabic French;;;;
Chile;Spanish;Languages of ethnic groups are official in their territories;;;
China;Standard Chinese;English (Hong Kong) Portuguese (Macau);Mongolian Uyghur Tibetan Zhuang Kazakh Korean;;Other Sinitic languages
Christmas Island;English Mandarin Chinese Malay;;;;
Cocos (Keeling) Islands;English Cocos Malay;;;;Malay
Colombia;Spanish;Languages of ethnic groups are official in their territories;;;
Comoros;Arabic Comorian French;;;;
Democratic Republic of the Congo;French;;Lingala Kikongo;Swahili Tshiluba;
Republic of the Congo;French;;Lingala Munukutuba;;
Cook Islands;English Cook Islands Māori;;;;
Costa Rica;Spanish;;Indigenous languages Limonese Creole;;
Croatia;Croatian;Serbian Hungarian Czech Slovak Pannonian Rusyn;;Italian (Istria County) Romani (non-territorial) Slovene (non-territorial);English
Cuba;Spanish;;;;
Cyprus;Greek Turkish;;;Armenian Cypriot Arabic;English
Czech Republic;Czech Slovak;;Belarusian Bulgarian Croatian German Greek Hungarian Polish Romani Russian Rusyn Serbian Ukrainian Vietnamese;Czech;
Denmark;Danish;Faroese (in the Faroe Islands) Kalaallisut (in Greenland);German (in Southern Jutland);;English
Djibouti;Arabic French;;;;
Dominica;English;;;;
Dominican Republic;Spanish;;;;
East Timor;Portuguese Tetum;;;;
Ecuador;Spanish;Languages of ethnic groups are official in their territories;Spanish Kichwa Shuar;;
Egypt;Arabic;;Coptic;Egyptian Arabic;English
El Salvador;Spanish;;;;
Equatorial Guinea;French Portuguese Spanish;;;;
Eritrea;Tigrinya;;;;Arabic Italian
Estonia;Estonian;;;;Russian
Eswatini;English Swazi;;;;
Ethiopia;Afar Amharic Oromo Somali Tigrinya;;;Afar Amharic Benshangul Gumuz Harari Kunama Oromo Sidamo Somali Tigrinya;
Fiji;English Fijian Fiji Hindi;;;;
Finland;Finnish Swedish;;Sami (in Enontekiö, Inari, Sodankylä, Utsjoki);Finnish Swedish;English
France;French;;Corsican language Basque language Breton language;;Occitan language
Gabon;French;;;;
Gambia;English;;;;
Georgia;Georgian;;;;Russian
Germany;German;Danish (in Schleswig-Holstein) Lower Sorbian (in Brandenburg) North Frisian (in Schleswig-Holstein) Saterland Frisian (in Lower Saxony) Upper Sorbian (in Saxony) German Sign Language Low German;Danish Lower Sorbian North Frisian Romani Upper Sorbian;;English
Ghana;English;Fante Asante Twi Akuapem Twi Adangme (in Greater Accra) Dagaare (in the Upper West Region) Dagbani (in the Northern Region) Ewe (in the Volta Region) Ga (in the Greater Accra) Gonja (in the Northern Region) Kasem (in the Upper East Region) Nzema (in the Western Region);;;
Greece;Greek;;;;
Grenada;English;;;;
Guatemala;Spanish;;;Garifuna Maya Xinca;
Guinea;French;;;;Fula Maninka Susu
Guinea-Bissau;Portuguese;;;;
Guyana;English;;;;Guyanese Creole
Haiti;French Haitian Creole;;;;
Honduras;Spanish;;;;
Hungary;Hungarian;;Croatian German Romanian Serbian Slovak Slovene;;
Iceland;Icelandic Icelandic Sign Language;;;;
India;Hindi English;22 official languages - Assamese, Bengali, Bodo, Dogri, Gujarati, Hindi, Kannada, Kashmiri, Konkani, Maithili, Malayalam, Meitei (Manipuri), Marathi, Nepali, Odia (Oriya), Punjabi, Sanskrit, Santali, Sindhi, Tamil, Telugu, and Urdu.;see Languages of India;;see List of languages by number of native speakers in India
Indonesia;Indonesian;Malay Javanese;;Indonesian Malay;Malay Javanese Indonesian Sundanese Madurese Minangkabau 700 more languages in Indonesia
Iran;Persian;;Azerbaijani Kurdish Luri Gilaki Mazanderani Balochi Arabic Qashqai Tati Turkmeni;Persian;
Iraq;Arabic Kurdish;Armenian recognized Assyrian Neo-Aramaic (in Assyrian areas) Iraqi Turkmen (in Turkmen areas) Kurdish;;;
Ireland;Irish English;;;Irish;
Israel;Hebrew;Arabic;English;;Russian English
Italy;Italian;French (in Aosta Valley) Franco-Provençal (in Aosta Valley) Occitan (in Piedmont's Occitan Valleys) German (in South Tyrol) Ladin (in South Tyrol) Friulian (in Friuli-Venezia Giulia) Slovene (in Province of Trieste, Province of Gorizia) Albanian/Arbereshe (in Sicily and Calabria) Sardinian (in Sardinia) Corsican (in northern Sardinia) Two dialects of Greek, Griko (in Grecìa Salentina) and Calabrian Greek (in Calabria);Ladin Slovene;;Other Italo-Dalmatian languages
Ivory Coast;French;;;;
Jamaica;English;;;Jamaican Patois;
Japan;None (Japanese has de facto status);;;Japanese;
